,None,ticker,date,open,high,low,close,volume
137,112,MSTR,2023-10-18,335.89,338.255,326.46,329.14,368094.0
138,111,MSTR,2023-10-19,330.72,348.78,328.14,342.35,534626.0
139,110,MSTR,2023-10-20,353.65,362.0,344.21,348.04,874844.0
140,109,MSTR,2023-10-23,355.35,383.9,346.09,377.49,1224793.0
141,108,MSTR,2023-10-24,408.39,438.99,401.27,424.87,2216695.0
142,107,MSTR,2023-10-25,434.79,449.49,425.11,433.22,1255771.0
143,106,MSTR,2023-10-26,420.0,430.0,406.23,413.45,998668.0
144,105,MSTR,2023-10-27,420.0,421.46,398.203,406.76,732195.0
145,104,MSTR,2023-10-30,423.0,434.65,410.0,420.22,824193.0
146,103,MSTR,2023-10-31,416.5,423.7699,410.0501,423.39,610037.0
147,102,MSTR,2023-11-01,429.62,430.0,412.36,426.67,732466.0
148,101,MSTR,2023-11-02,440.48,454.05,424.0,453.63,1175470.0
149,100,MSTR,2023-11-03,444.98,464.19,441.4,453.95,941756.0
150,99,MSTR,2023-11-06,461.02,472.9899,451.01,459.63,780162.0
151,98,MSTR,2023-11-07,454.0,474.87,449.0,473.55,721448.0
152,97,MSTR,2023-11-08,469.08,478.6,458.49,474.5,773556.0
153,96,MSTR,2023-11-09,498.29,535.21,485.89,494.07,2104634.0
154,95,MSTR,2023-11-10,504.0,513.315,494.535,509.18,940958.0
155,94,MSTR,2023-11-13,502.0,506.895,486.77,504.88,914931.0
156,93,MSTR,2023-11-14,506.7,506.99,460.0,480.0,1649364.0
157,92,MSTR,2023-11-15,486.34,509.28,480.67,505.95,1415075.0
158,91,MSTR,2023-11-16,494.0,502.77,482.97,489.08,1138097.0
159,90,MSTR,2023-11-17,492.65,495.91,483.39,486.22,743692.0
160,89,MSTR,2023-11-20,492.01,512.5199,492.01,508.53,1055090.0
161,88,MSTR,2023-11-21,497.99,503.14,484.53,493.04,778271.0
162,87,MSTR,2023-11-22,494.0,509.44,481.08,507.88,729341.0
163,86,MSTR,2023-11-24,510.0,526.7899,505.53,520.24,904250.0
164,85,MSTR,2023-11-27,505.75,514.8,495.3,495.38,1047893.0
165,84,MSTR,2023-11-28,505.12,515.27,498.25,505.87,882638.0
166,83,MSTR,2023-11-29,507.98,513.5,497.0,507.1,655003.0
167,82,MSTR,2023-11-30,498.0,504.99,487.3139,498.3,738392.0
168,81,MSTR,2023-12-01,503.53,529.8,503.37,527.68,1394834.0
169,80,MSTR,2023-12-04,567.0,577.77,550.0,563.22,1738550.0
170,79,MSTR,2023-12-05,566.0,589.9,563.3837,577.5,1427247.0
171,78,MSTR,2023-12-06,585.12,586.555,566.135,568.885,945673.0
172,77,MSTR,2023-12-07,557.2,578.06,552.1,571.09,571595.0
173,76,MSTR,2023-12-08,573.48,599.39,572.81,599.39,946127.0
174,75,MSTR,2023-12-11,574.11,577.88,546.1789,555.8,1325064.0
175,74,MSTR,2023-12-12,560.0,566.97,549.01,558.32,708029.0
176,73,MSTR,2023-12-13,557.59,586.0,552.29,586.0,954567.0
177,72,MSTR,2023-12-14,588.0,590.0,575.65,582.37,908164.0
178,71,MSTR,2023-12-15,575.0,575.23,564.65,570.41,966634.0
179,70,MSTR,2023-12-18,561.1,579.0,559.0,571.9,808519.0
180,69,MSTR,2023-12-19,583.5,590.41,564.51,571.3,867512.0
181,68,MSTR,2023-12-20,589.77,599.5693,572.1,573.47,1368351.0
182,67,MSTR,2023-12-21,588.1,591.3199,574.4,581.95,708114.0
183,66,MSTR,2023-12-22,581.96,622.58,578.7,619.24,1250389.0
184,65,MSTR,2023-12-26,609.49,615.55,596.49,603.89,1199922.0
185,64,MSTR,2023-12-27,613.8,673.82,612.01,670.71,2112590.0
186,63,MSTR,2023-12-28,654.69,689.35,653.515,667.88,1559068.0
187,62,MSTR,2023-12-29,674.83,680.0,617.17,631.62,1568457.0
188,61,MSTR,2024-01-02,692.49,727.77,680.0001,685.15,2196777.0
189,60,MSTR,2024-01-03,643.22,658.55,625.3,631.06,1873978.0
190,59,MSTR,2024-01-04,638.6,668.0,628.45,655.81,1101074.0
191,58,MSTR,2024-01-05,648.71,654.03,630.03,631.08,922605.0
192,57,MSTR,2024-01-08,640.0,646.88,586.52,598.01,2492560.0
193,56,MSTR,2024-01-09,600.0,602.78,571.2501,577.29,1399459.0
194,55,MSTR,2024-01-10,566.68,586.9999,553.8411,565.67,1517058.0
195,54,MSTR,2024-01-11,598.99,611.0,530.3,536.18,2562762.0
196,53,MSTR,2024-01-12,525.02,525.89,481.0,485.53,2710762.0
