,None,ticker,date,open,high,low,close,volume
85,164,META,2023-08-04,314.96,318.41,310.2,310.73,17542530.0
86,163,META,2023-08-07,313.23,317.07,310.46,316.56,16180824.0
87,162,META,2023-08-08,314.4,317.89,310.11,312.64,15138307.0
88,161,META,2023-08-09,312.88,313.63,302.85,305.21,18854283.0
89,160,META,2023-08-10,307.94,312.339,303.87,305.74,14301795.0
90,159,META,2023-08-11,302.57,304.72,300.36,301.64,13959041.0
91,158,META,2023-08-14,300.98,306.21,298.25,306.19,15376384.0
92,157,META,2023-08-15,306.14,307.23,300.03,301.95,11550281.0
93,156,META,2023-08-16,300.195,301.08,294.28,294.29,18086986.0
94,155,META,2023-08-17,293.05,296.05,284.95,285.09,23721334.0
95,154,META,2023-08-18,279.03,285.69,274.38,283.25,34061083.0
96,153,META,2023-08-21,283.45,290.5,281.85,289.9,18584536.0
97,152,META,2023-08-22,292.55,292.9,286.75,287.6,12704844.0
98,151,META,2023-08-23,288.5,297.4,287.67,294.24,16551154.0
99,150,META,2023-08-24,298.5,299.46,286.64,286.75,16451462.0
100,149,META,2023-08-25,286.13,288.386,276.03,285.5,23490810.0
101,148,META,2023-08-28,288.0,291.45,285.8,290.26,14028624.0
102,147,META,2023-08-29,288.585,299.15,288.18,297.99,20209216.0
103,146,META,2023-08-30,297.17,298.29,293.43,295.1,17491920.0
104,145,META,2023-08-31,295.8,301.1,295.66,295.89,17184211.0
105,144,META,2023-09-01,299.37,301.74,294.47,296.38,12842257.0
106,143,META,2023-09-05,297.02,301.39,295.51,300.15,14793449.0
107,142,META,2023-09-06,301.71,303.3,295.66,299.17,15132163.0
108,141,META,2023-09-07,298.0,307.0499,292.22,298.67,33147458.0
109,140,META,2023-09-08,299.22,305.25,296.78,297.89,17276715.0
110,139,META,2023-09-11,301.41,309.04,301.28,307.56,19417055.0
111,138,META,2023-09-12,306.33,308.6599,300.23,301.66,13201176.0
112,137,META,2023-09-13,302.36,307.18,301.3206,305.06,12746516.0
113,136,META,2023-09-14,306.74,312.87,305.03,311.72,19283438.0
114,135,META,2023-09-15,311.61,312.0,298.75,300.31,27576051.0
115,134,META,2023-09-18,298.19,303.6,297.8,302.55,13649732.0
116,133,META,2023-09-19,302.48,306.17,299.81,305.07,15796721.0
117,132,META,2023-09-20,305.05,308.06,299.43,299.67,18763607.0
118,131,META,2023-09-21,295.7,300.2566,293.27,295.73,20995376.0
119,130,META,2023-09-22,299.3,305.38,298.27,299.08,24384236.0
120,129,META,2023-09-25,295.64,300.95,293.7,300.83,17285559.0
121,128,META,2023-09-26,297.66,300.2999,296.0101,298.96,19313955.0
122,127,META,2023-09-27,300.45,301.2997,286.79,297.74,36404390.0
123,126,META,2023-09-28,298.935,306.3299,296.7,303.96,21742745.0
124,125,META,2023-09-29,307.38,310.64,299.36,300.21,25324847.0
125,124,META,2023-10-02,302.74,307.18,301.63,306.82,16203936.0
126,123,META,2023-10-03,304.26,306.77,299.64,300.94,17273749.0
127,122,META,2023-10-04,298.725,306.9,298.5,305.58,16820210.0
128,121,META,2023-10-05,304.625,306.208,299.5,304.79,19096647.0
129,120,META,2023-10-06,301.44,316.31,300.9148,315.43,21258110.0
130,119,META,2023-10-09,312.5,320.33,311.82,318.36,22119375.0
131,118,META,2023-10-10,319.12,324.66,318.16,321.84,18972651.0
132,117,META,2023-10-11,323.005,328.835,322.95,327.82,21389951.0
133,116,META,2023-10-12,328.0,330.54,322.69,324.16,20071782.0
134,115,META,2023-10-13,323.53,325.0502,312.37,314.69,21151820.0
135,114,META,2023-10-16,318.64,321.82,315.52,321.15,16059207.0
136,113,META,2023-10-17,318.18,324.4,317.3,324.0,16287586.0
137,112,META,2023-10-18,321.39,325.94,315.56,316.97,16804319.0
138,111,META,2023-10-19,319.875,321.89,311.7504,312.81,17860584.0
139,110,META,2023-10-20,314.14,315.3,306.47,308.65,21722761.0
140,109,META,2023-10-23,309.5,317.36,307.26,314.01,17471232.0
141,108,META,2023-10-24,316.78,318.35,310.63,312.55,18338924.0
142,107,META,2023-10-25,310.0,310.88,298.84,299.53,37405734.0
143,106,META,2023-10-26,295.0,295.0,279.403,288.35,65773116.0
144,105,META,2023-10-27,294.48,299.31,292.97,296.73,29531901.0
145,104,META,2023-10-30,299.09,309.3967,299.05,302.66,27536438.0
146,103,META,2023-10-31,303.31,303.68,296.86,301.27,18045601.0
147,102,META,2023-11-01,301.85,312.74,301.85,311.85,20033005.0
148,101,META,2023-11-02,317.3,318.82,308.33,310.87,21478146.0
149,100,META,2023-11-03,312.55,315.55,311.0167,314.6,16654979.0
150,99,META,2023-11-06,315.98,318.33,314.45,315.8,12847346.0
