None,ticker,date,close,open,high,low,volume
602,TSLA,2021-11-04,1229.91,1234.41,1243.49,1217.0,25208275.0
603,TSLA,2021-11-03,1213.86,1177.33,1215.39,1152.62,35028529.0
604,TSLA,2021-11-02,1172.0,1159.36,1208.59,1146.0,42404100.0
605,TSLA,2021-11-01,1208.59,1145.0,1209.75,1118.66,54647458.0
606,TSLA,2021-10-29,1114.0,1081.86,1115.21,1073.2,29346538.0
607,TSLA,2021-10-28,1077.04,1068.31,1081.0,1054.2,26454956.0
608,TSLA,2021-10-27,1037.86,1039.66,1070.88,1030.78,38018886.0
609,TSLA,2021-10-26,1018.43,1024.69,1094.94,1001.44,61941845.0
610,TSLA,2021-10-25,1024.86,950.53,1045.02,944.2,62205997.0
611,TSLA,2021-10-22,909.68,895.5,910.0,890.96,22543260.0
612,TSLA,2021-10-21,894.0,856.0,900.0,855.5046,31276958.0
613,TSLA,2021-10-20,865.8,865.35,869.49,857.38,13140427.0
614,TSLA,2021-10-19,864.27,877.53,877.95,862.51,17259350.0
615,TSLA,2021-10-18,870.11,851.79,875.26,851.47,23224452.0
616,TSLA,2021-10-15,843.03,823.7384,843.21,822.35,18548703.0
617,TSLA,2021-10-14,818.32,815.49,820.25,813.3501,12153327.0
618,TSLA,2021-10-13,811.08,810.47,815.41,805.78,13940692.0
619,TSLA,2021-10-12,805.72,800.93,812.32,796.57,21627586.0
620,TSLA,2021-10-11,791.94,787.65,801.24,785.5,14114355.0
621,TSLA,2021-10-08,785.49,796.21,796.38,780.91,16630854.0
622,TSLA,2021-10-07,793.61,785.46,805.0,783.38,18891196.0
623,TSLA,2021-10-06,782.75,776.2,786.66,773.22,14330537.0
624,TSLA,2021-10-05,780.59,784.7962,797.31,774.2,18196769.0
625,TSLA,2021-10-04,781.53,796.5,806.9699,776.12,30331075.0
626,TSLA,2021-10-01,775.22,778.4,780.78,763.59,16596580.0
627,TSLA,2021-09-30,775.48,781.0,789.1305,775.0,17777488.0
628,TSLA,2021-09-29,781.31,779.8,793.5,770.68,20646205.0
629,TSLA,2021-09-28,777.56,787.2,795.64,766.1801,24837683.0
630,TSLA,2021-09-27,791.36,773.12,799.0,769.31,27751918.0
631,TSLA,2021-09-24,774.39,745.89,774.8,744.56,21244223.0
632,TSLA,2021-09-23,753.64,755.0,758.2,747.92,11904590.0
633,TSLA,2021-09-22,751.94,743.5263,753.6699,739.12,14526217.0
634,TSLA,2021-09-21,739.38,734.79,744.7399,730.44,16232790.0
635,TSLA,2021-09-20,730.17,734.5577,742.0,718.6249,24401846.0
636,TSLA,2021-09-17,759.49,757.15,761.04,750.0,28097747.0
637,TSLA,2021-09-16,756.99,752.83,758.91,747.61,13598548.0
638,TSLA,2021-09-15,755.83,745.0,756.86,738.36,15272289.0
639,TSLA,2021-09-14,744.49,742.57,754.47,736.4,18368867.0
640,TSLA,2021-09-13,743.0,740.2143,744.78,708.85,22919382.0
641,TSLA,2021-09-10,736.27,759.6,762.61,734.5201,14967912.0
642,TSLA,2021-09-09,754.86,753.41,762.1,751.6301,13854108.0
643,TSLA,2021-09-08,753.87,761.58,764.45,740.7733,18721069.0
644,TSLA,2021-09-07,752.92,740.0,760.2,739.26,19442010.0
645,TSLA,2021-09-03,733.57,732.2494,734.0,724.2,15271045.0
646,TSLA,2021-09-02,732.39,734.5,740.97,730.54,12741284.0
647,TSLA,2021-09-01,734.09,734.08,741.99,731.2701,12676047.0
648,TSLA,2021-08-31,735.72,733.0,740.39,726.44,20461323.0
649,TSLA,2021-08-30,730.91,714.715,731.0,712.73,18984334.0
650,TSLA,2021-08-27,711.92,705.0,715.0,702.1001,13474309.0
651,TSLA,2021-08-26,701.16,708.31,715.4,697.6201,13099182.0
652,TSLA,2021-08-25,711.2,707.03,716.97,704.0,12472311.0
653,TSLA,2021-08-24,708.49,710.68,715.22,702.64,12788760.0
654,TSLA,2021-08-23,706.3,685.442,712.1299,680.7505,20088889.0
655,TSLA,2021-08-20,680.26,682.85,692.1299,673.7,14739946.0
656,TSLA,2021-08-19,673.47,678.21,686.55,667.59,14159503.0
657,TSLA,2021-08-18,688.99,669.7479,695.77,669.35,20184409.0
658,TSLA,2021-08-17,665.71,672.66,674.58,648.84,23400397.0
659,TSLA,2021-08-16,686.17,705.07,709.5,676.4,23103303.0
660,TSLA,2021-08-13,717.17,723.71,729.9,714.34,16731467.0
661,TSLA,2021-08-12,722.25,706.34,722.8,699.4,17681686.0
662,TSLA,2021-08-11,707.82,712.71,715.18,704.21,9800558.0
663,TSLA,2021-08-10,709.99,713.99,716.59,701.88,13432305.0
664,TSLA,2021-08-09,713.76,710.17,719.03,705.13,14715349.0
665,TSLA,2021-08-06,699.1,711.9,716.33,697.63,15623049.0
666,TSLA,2021-08-05,714.63,716.0,720.9499,711.41,12919637.0
